feature_id,mz,rt,name,Sample_01,Sample_02,Sample_03,Sample_04,Sample_05,Sample_06,Sample_07,Sample_08,Sample_09,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20
F001,133.014,0.98,lactate,8.9379,7.4098,9.0363,9.5488,6.0412,6.7777,8.5846,8.4942,8.2634,7.7184,9.3423,9.5801,10.0852,9.9156,9.8921,9.9279,9.8193,9.7575,10.097,9.8383
F002,175.119,2.31,citrulline,7.1858,5.8767,7.7206,8.2649,5.2846,6.0704,7.221,6.9234,7.3396,6.2696,8.4846,8.1256,8.5048,8.2798,8.0325,8.4654,8.3678,8.4616,8.5862,8.5806
F003,146.058,1.87,glutamate,7.2406,5.8394,7.3696,7.6266,4.6222,5.2663,6.5844,6.2661,6.8848,5.8059,7.7759,8.1159,8.0065,8.0597,7.5981,7.7923,7.7477,7.8737,8.1761,7.5371
F004,132.054,3.12,asparagine,9.5438,8.0155,9.777,9.7731,6.9719,7.5352,9.2988,8.7576,9.482,8.1018,9.9072,10.1086,10.4995,10.5089,10.3231,10.2188,10.6723,9.9759,10.1226,10.0545
F005,204.09,4.55,adenosine,8.5458,8.167,7.7446,8.9099,7.7401,6.129,8.0578,6.463,9.1412,8.1636,8.2036,7.8526,7.567,8.1669,7.8968,7.9962,7.947,8.0648,8.3665,8.1393
F006,267.097,5.21,AMP,7.8277,7.4967,6.554,8.0184,7.4008,6.3968,7.3382,6.0909,7.7415,6.5488,7.1587,7.2187,7.9321,7.1947,7.6096,7.1743,7.6329,7.4962,7.3608,7.3898
F007,348.069,4.83,ADP,8.7157,8.8893,7.9523,8.8208,8.148,7.1839,8.7635,7.0811,8.8488,8.0215,8.9265,8.6548,8.4973,8.8766,8.7072,8.9839,8.6458,8.2939,8.258,9.0127
F008,428.037,4.91,ATP,8.5224,7.9551,7.2636,8.6799,7.444,6.303,7.7927,6.3384,8.0893,7.2142,8.0844,8.3519,8.0226,8.161,7.4875,7.9878,7.7892,7.6953,7.7805,7.9165
F009,117.043,1.44,threonine,5.729,5.1684,5.5077,5.379,5.4181,5.7507,5.6345,5.8343,5.4614,5.326,9.314,6.3729,6.2295,5.5524,7.5618,8.2118,7.2926,6.261,5.5973,7.5089
F010,131.058,1.69,methionine,5.7341,5.9523,6.1789,6.4015,5.9177,5.9365,5.5632,6.0593,5.8344,5.9676,9.4224,7.07,6.5483,6.3195,8.6483,8.3071,7.1119,7.1191,7.4018,7.8577
F011,147.053,1.55,glutamine,5.7079,5.8854,6.2322,5.5533,5.7387,5.9943,5.9087,5.706,5.7665,5.4563,9.3963,6.5863,6.5946,6.066,7.8955,8.595,7.0135,6.2638,6.2064,7.8157
F012,132.102,2.04,leucine,6.1196,6.3791,6.2757,6.8233,6.6933,6.3965,6.1092,6.0219,6.5978,6.3657,9.8475,6.9981,7.5708,7.1812,8.0768,8.6982,7.7634,7.057,6.9849,8.3597
F013,168.065,3.77,phenylalanine,4.137,4.2381,4.5679,3.5583,4.1408,4.2441,4.274,4.107,3.7608,4.282,8.8981,7.8226,6.8508,7.7197,7.6364,7.5211,8.5492,8.1157,8.5283,8.0209
F014,182.081,4.22,tyrosine,4.1944,4.0098,4.336,4.0097,4.107,3.8259,3.9166,3.7256,4.1474,3.6054,8.1132,7.6498,6.6608,7.5431,7.6835,7.5233,7.6656,7.3292,7.5538,7.0448
F015,204.09,5.01,tryptophan,4.8778,4.6594,4.3253,4.2466,4.5082,4.1959,4.3322,4.578,4.7888,4.6522,8.1191,8.5279,7.0194,8.1821,8.3441,7.5466,8.6979,8.216,8.2193,8.2501
F016,191.02,1.11,citrate,7.3968,6.1717,7.6077,8.144,5.3161,5.756,7.1864,6.7513,6.7674,6.1101,8.5284,8.841,8.3098,8.291,8.6229,8.9971,8.1225,8.1629,8.402,8.556
F017,173.009,0.95,isocitrate,6.7771,5.8963,7.3896,7.557,4.8826,5.91,6.5638,5.7145,6.8859,5.6178,7.9861,8.4453,7.1082,7.6365,7.6367,7.8141,7.8396,7.9141,7.837,7.4089
F018,90.032,0.72,pyruvate,4.4225,5.0136,4.8821,5.1148,5.1755,5.0346,5.19,5.0573,5.1325,4.8238,6.1551,6.2492,6.4051,6.1016,6.3303,6.1335,6.1706,6.4074,5.7017,5.8759
F019,116.047,1.33,succinate,4.4295,4.2166,4.6304,4.9874,4.7288,4.8494,5.0723,5.1319,4.7827,5.1384,5.723,5.4907,5.5514,5.3299,5.478,5.6105,5.9009,6.1302,5.3545,5.7982
F020,245.077,6.14,,4.9595,6.4747,5.8689,4.1691,6.9283,5.395,5.4661,4.9302,5.3457,6.4279,5.8108,6.3287,6.3619,7.3207,5.6572,4.5231,7.0672,5.6685,7.1146,6.3834
F021,309.045,7.88,,5.3689,5.8488,7.451,7.577,5.5694,5.6602,6.5762,4.6543,5.8331,5.4741,5.8139,4.6666,3.9104,3.427,4.3826,5.0413,5.2068,7.4372,6.606,4.5379
F022,181.061,8.33,,7.3477,6.5929,6.7156,7.1853,7.6192,6.6607,8.0639,5.8581,7.0063,9.5977,7.2231,8.4332,7.0915,7.5808,6.9432,6.8296,6.2205,7.4303,6.1485,7.6656
